source,anatomist,anthropologist,archeologist,astronomer,botanist,chemist,economist,geographer,geologist,historian,linguist,logician,mathematician,meteorologist,musicologist,paleontologist,philosopher,physicist,political scientist,sociologist,theologian,zoologist
anatomist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
anthropologist,0.0,0.0,8.0,3.0,5.0,2.0,2.0,4.0,4.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
archeologist,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
astronomer,0.0,3.0,0.0,0.0,7.0,6.0,0.0,14.0,0.0,24.0,15.0,0.0,122.0,2.0,5.0,0.0,47.0,12.0,0.0,0.0,4.0,2.0
botanist,0.0,5.0,0.0,7.0,0.0,4.0,0.0,9.0,7.0,10.0,7.0,0.0,5.0,3.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,23.0
chemist,0.0,2.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
economist,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
geographer,0.0,4.0,0.0,14.0,9.0,2.0,0.0,0.0,6.0,25.0,8.0,0.0,18.0,2.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,5.0
geologist,0.0,4.0,3.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
historian,0.0,7.0,13.0,24.0,10.0,2.0,4.0,25.0,0.0,0.0,12.0,0.0,23.0,0.0,0.0,0.0,16.0,2.0,0.0,2.0,0.0,3.0
linguist,0.0,5.0,2.0,15.0,7.0,4.0,0.0,8.0,0.0,12.0,0.0,3.0,16.0,0.0,2.0,0.0,8.0,3.0,2.0,0.0,0.0,3.0
logician,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
mathematician,0.0,3.0,0.0,122.0,5.0,5.0,2.0,18.0,0.0,23.0,16.0,0.0,0.0,3.0,5.0,0.0,45.0,12.0,0.0,0.0,4.0,3.0
meteorologist,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
musicologist,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
paleontologist,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
philosopher,2.0,4.0,0.0,47.0,7.0,3.0,7.0,10.0,0.0,16.0,8.0,2.0,45.0,2.0,5.0,0.0,0.0,8.0,8.0,2.0,6.0,5.0
physicist,0.0,2.0,0.0,12.0,3.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,12.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0
political scientist,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
sociologist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
theologian,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
zoologist,2.0,0.0,0.0,2.0,23.0,0.0,0.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
